,Train,Test,Log Train,Log Test
0,0.7855470536877665,4.804388096330919,-0.24137492023172186,1.5695296870352584
1,0.691957761651056,0.7148176967902383,-0.36823036330387526,-0.33572773832252695
2,0.6453914014522373,0.6807894023666017,-0.4378983222726141,-0.38450226828566786
3,0.6061599948162109,0.6265161350988807,-0.5006113099108688,-0.4675807506298771
4,0.5778336559417013,0.5892175227367513,-0.548469244218371,-0.5289598549568078
5,0.5506713296724592,0.5644983860302806,-0.5966171456769813,-0.571817754510271
6,0.5297004355992536,0.5389423943593799,-0.6354436480811284,-0.6181465888136626
7,0.5146948019884409,0.520810730720543,-0.6641811714837292,-0.6523685839979255
8,0.5023331770007058,0.5118730555048042,-0.6884916802367278,-0.6696786231516317
9,0.49048728157740296,0.5249033896932251,-0.7123559298186991,-0.6445410529561554
10,0.48280531642622887,0.5079853430737146,-0.7281417781660561,-0.6773026840369857
11,0.47407033645405317,0.5383550038478441,-0.7463995791520684,-0.619237077977977
12,0.46871895220161436,0.4896853594950118,-0.7577519391943938,-0.7139922176066106
13,0.4645758384257604,0.48292643371711697,-0.7666304651084285,-0.7278909480747701
14,0.4585392718856161,0.4806468997664448,-0.7797093379860857,-0.7326223745765298
15,0.45403177332363653,0.463707756394936,-0.789588098095292,-0.7685007605412338
16,0.4489158139533856,0.4574309693514626,-0.8009199055826594,-0.7821292923145686
17,0.44536034887864656,0.4507821208165846,-0.8088715517439651,-0.7967711586132727
18,0.4413019278478119,0.45196256271633906,-0.8180259941510023,-0.7941559284289633
19,0.43713104188649266,0.45501187433252666,-0.8275222618205292,-0.7874317629375942
20,0.4339730841231728,0.45625278604258535,-0.8347727649543085,-0.7847082677093722
21,0.43147870459900095,0.4522586112814086,-0.8405371217066312,-0.7935011139119817
22,0.4299543682741154,0.47056660573810477,-0.8440761962184405,-0.7538177662392297
23,0.42656463469088346,0.448534060957045,-0.8519913767777435,-0.8017706562040331
24,0.4241210391213014,0.43691833334288355,-0.8577363948631691,-0.8280089815730659
25,0.42161963255285934,0.4471318872090238,-0.8636517160629513,-0.8049016782025495
26,0.4190454084025371,0.4343577237210881,-0.8697759916562136,-0.8338868361824666
27,0.4166560777432688,0.43759419904696706,-0.8754941510929811,-0.8264632842534397
28,0.4135306446579914,0.43037074141348597,-0.8830236568460735,-0.8431082524325603
29,0.412940995480985,0.4461636757263164,-0.8844505643125034,-0.8070694083514953
30,0.41182277717482,0.4477453869830252,-0.8871621746630323,-0.8035305407565323
31,0.4107100621282506,0.4396321074987827,-0.8898677583726998,-0.8218170211335027
32,0.4078315039685085,0.44312978366297023,-0.8969011703472369,-0.813892586463813
33,0.40609755328629055,0.43069323473310805,-0.9011618692125151,-0.8423591946537313
34,0.40499737202500646,0.4270701054980629,-0.9038747007237949,-0.8508070977355265
35,0.40568469907464466,0.4306685682239727,-0.902179024357359,-0.8424164679367058
36,0.402775066063832,0.4280555866162292,-0.9093770215834206,-0.8485022165618396
37,0.39721237208627963,0.4280398918019169,-0.923284199042743,-0.8485388825990041
38,0.3964943107935158,0.42625610218052445,-0.9250935865763404,-0.8527149345208432
39,0.39551454399275127,0.43786985893033864,-0.92756771876472,-0.8258335384861067
40,0.3912359864972001,0.4438470662944334,-0.9384443550287799,-0.8122752211676219
41,0.3911472452749857,0.4373459036197413,-0.9386712035065878,-0.8270308555263404
42,0.389999389532829,0.44505537331303874,-0.9416101051601086,-0.809556570145893
43,0.3879169829183643,0.4428043557433558,-0.9469639238025093,-0.8146272413772564
44,0.38471134847474786,0.4271004419722711,-0.9552619701145459,-0.8507360663137319
45,0.38492012649127616,0.42934981932789396,-0.9547194298769377,-0.845483262667519
46,0.38038669209737336,0.42869453933127755,-0.9665669328940083,-0.8470106431983621
47,0.38002096799545343,0.4294117038022216,-0.9675288488486032,-0.8453391377323235
48,0.3767387913520623,0.4295924232823828,-0.9762031928084444,-0.8449183726227523
49,0.37493158241825136,0.44354115072508804,-0.9810117165418468,-0.812964695234545
50,0.3723742591229398,0.4532978033320385,-0.9878558575500259,-0.7912059669944863
51,0.37128735548860725,0.44564863729404247,-0.990778973082432,-0.8082244462042236
52,0.3676185868258302,0.4805661978030775,-1.0007093271405763,-0.7327902914802028
53,0.36536733557471174,0.44226574916938727,-1.0068520326446093,-0.815844335113597
54,0.36266547430966173,0.43770564888872515,-1.014274427988858,-0.8262086290227248
55,0.3599053059695009,0.44269248696572655,-1.0219143211064086,-0.8148799103260969
56,0.35716988820930284,0.4380651053895626,-1.0295437330592256,-0.8253877372099603
57,0.35565346710904827,0.4438217201705873,-1.0337984291954188,-0.8123323283324551
58,0.3526825002836302,0.4494191369168269,-1.0421870594053446,-0.7997993368780326
59,0.3500943266387337,0.4421672885602253,-1.0495526561264445,-0.8160669876047827
60,0.3482633851010904,0.44850974967347873,-1.0547962317382547,-0.8018248593171567
61,0.3485069427591466,0.44699198296818204,-1.0540971271460025,-0.8052146197236294
62,0.3424712810824769,0.4530329513531491,-1.0715674756496185,-0.7917904158506226
63,0.33973552838544807,0.4629203477217106,-1.0795878217500572,-0.7702002748539407
64,0.33851180416946086,0.4554854259346514,-1.0831963152453223,-0.7863915585466853
65,0.3372457999685966,0.4615619331188718,-1.0869432377343213,-0.7731390344356692
66,0.33239093547319126,0.4548143793094152,-1.101443486308923,-0.7878659008302366
67,0.33212088177154875,0.4571246389325877,-1.1022562746130626,-0.7827991923787222
68,0.328676887668409,0.4601468442532754,-1.1126801151485728,-0.7762096138034231
69,0.3266208019739126,0.4665812724467946,-1.1189554079636053,-0.7623230564051845
70,0.3243613765064145,0.4695509442966361,-1.1258970251534877,-0.7559784786662679
71,0.32728029769601796,0.4632429483965112,-1.1169382957548994,-0.7695036359584039
72,0.3227369548288435,0.474145444660779,-1.1309176688829568,-0.7462411590785392
73,0.31844061451273853,0.4736832883890628,-1.1443192750037343,-0.7472163485663167
74,0.320949192090707,0.4685447412481665,-1.1364724484709923,-0.758123682934542
75,0.32033697572294506,0.4753049821985385,-1.1383817881214617,-0.7437986131984315
76,0.3121041196584573,0.4708057603165648,-1.164418429989709,-0.7533096685039894
77,0.31045689092816187,0.46880114620934943,-1.169710224837895,-0.7575765957365095
78,0.30756531397382586,0.46791549261025767,-1.1790678111230102,-0.7594675707150619
79,0.3061570476721095,0.47064454556341334,-1.1836570809994087,-0.7536521502127325
80,0.30503791947006453,0.47676245054818706,-1.1873191839712192,-0.7407369193770906
81,0.3014062505182239,0.4827908354273583,-1.1992962547226806,-0.7281717720694988
82,0.30052315543321695,0.4763024168276533,-1.2022304716254233,-0.7417022970171834
83,0.2989875041495582,0.47499891738042743,-1.2073534986067123,-0.7444427541491934
84,0.2991054828972164,0.4820580779114689,-1.2069589821962425,-0.7296906785980475
85,0.29501768033104087,0.5067347541167263,-1.220719991112685,-0.6797675797134103
86,0.297644429469394,0.4778371479175397,-1.2118556945943388,-0.7384852992734975
87,0.293568671745071,0.48513602002860845,-1.225643691800601,-0.7233259736971983
88,0.2912953379470795,0.4993929754293121,-1.2334176194459527,-0.6943619672559921
89,0.2884283850589029,0.496557917953695,-1.2433084558801855,-0.7000551498255676
90,0.28618257664360286,0.49637312935857403,-1.2511252919673002,-0.7004273581430627
91,0.2842326342860802,0.4946473929628427,-1.2579622413186125,-0.7039101076951201
92,0.28152056208376447,0.4911078978416415,-1.2675497893674883,-0.7110914241244033
93,0.28040851888993756,0.49265726058732684,-1.2715077430780033,-0.7079415585016373
94,0.2811806719752339,0.49412127705344455,-1.2687578554931507,-0.7049742918162475
95,0.27678389098731176,0.49161639920315986,-1.2845182542323255,-0.7100565430119075
96,0.2773166596948874,0.49331746922711184,-1.2825952499288689,-0.7066023583812031
97,0.2757605525094407,0.4969631373264907,-1.2882223531874841,-0.6992394260055002
98,0.27341790128117577,0.5072678682010504,-1.2967538803135588,-0.6787160752661617
99,0.26980575730879647,0.49292814342279423,-1.310052996263451,-0.7073918692688503
100,0.26901755362123625,0.5065579569980604,-1.3129786464117867,-0.6801165353873645
101,0.2687468878526351,0.4928482886713789,-1.3139852796905322,-0.7075538831880113
102,0.28214246028970535,0.5202834247013269,-1.2653431572713503,-0.6533815683885507
103,0.26636546888535567,0.5134557222443504,-1.3228859700186872,-0.6665914807035661
104,0.26414733215163616,0.509143665811911,-1.3312482551705487,-0.6750250511530127
105,0.26367401295791215,0.5082265269042782,-1.3330417382306103,-0.6768280116931223
106,0.2615940974127689,0.5039486313154659,-1.3409612230604977,-0.685280938098291
107,0.2607874058279062,0.5028692500255929,-1.3440497406328342,-0.6874250829797076
108,0.25931987019855157,0.5145517396722563,-1.3496929592209264,-0.6644591657471349
109,0.2563288618135024,0.5331466028819309,-1.3612940424573428,-0.6289588403249295
110,0.256459155051351,0.5153922506534059,-1.3607858666171617,-0.6628270164737147
111,0.2552562042989345,0.5220384149196441,-1.3654875154788606,-0.6500141020071576
112,0.25523470988762276,0.5117224269291742,-1.3655717262286589,-0.6699729358548475
113,0.25256021758318775,0.5257839680215933,-1.3761055732218923,-0.6428648577910049
114,0.2533517750359008,0.5147614332838009,-1.372976340825039,-0.664051721987636
115,0.2531756325001893,0.5300538177295189,-1.373671831494215,-0.6347767347052148
116,0.24659429737117922,0.5119017975960788,-1.4000108135347742,-0.6696224739090614
117,0.24700226927845326,0.514587466832403,-1.3983577550342046,-0.6643897345954789
118,0.2515400465818993,0.5261132238475443,-1.3801530711762984,-0.6422388349453331
119,0.24705024101092002,0.5107591229253614,-1.398163558135622,-0.6718571836223668
120,0.2488633075794172,0.5420722554623025,-1.390851498798692,-0.6123559737667592
121,0.24539845161523974,0.5189288503210814,-1.4048720563615817,-0.6559884951540461
122,0.24455993372722173,0.5297440084946408,-1.4082948723874025,-0.6353613919597156
123,0.23837274703480935,0.5278065801174741,-1.4339196664546845,-0.6390253879245522
124,0.24231936924725103,0.5308353475763916,-1.4174987152409113,-0.6333033857187099
125,0.24132856628686786,0.5248511067368729,-1.42159592841459,-0.6446406628298417
126,0.23873243869534683,0.5247883451871044,-1.4324118575293499,-0.6447602497027021
127,0.23721212013813597,0.5285151693374174,-1.4388005164601814,-0.6376837714585587
128,0.233154186904092,0.5348560607460361,-1.456055297904525,-0.6257576136198315
129,0.24078614580248173,0.5404835352482199,-1.4238461012454675,-0.6152911044423014
130,0.2346295300051939,0.5436555000815316,-1.4497474768342788,-0.6094395046364935
131,0.23225417018687303,0.55056954332147,-1.4599229458546719,-0.5968020032386196
